"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"aaaa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000241419192942396;0;0;0,000365609519578182
"abdank";0;0;0;0;0;0;0;0;0,00260858140945549;0;0,000267046753879767;0;0;0;0;0;0;0;0;0
"abdykacja";0;0;0;0;0;0;0;0;0;0;0,000400570130819651;0;0;0;0;0;0;0,000227280247323985;0;0
"aberracja";0;0;0;0;0,000481690530476277;0;0,000277231257955554;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0
"abominacja";0;0;0;0;0;0;0;0;0;0,00025467096710268;0;0;0;0;0;0;0,000482838385884791;0;0;0
"abominacjiabominacja";0;0;0;0;0;0;0;0;0;0,00025467096710268;0,000133523376939884;0;0;0;0;0;0;0;0;0
"absolutny";0;0;0;0;0,00030358904479059;9,53245442363025e-05;0,000436817663332522;0,000241015055119339;0;0,00013224416992488;3,46676504783177e-05;0,000101344982815353;0;0;0;0;0,00050145143968027;0,000531093889316543;0,000507842896101798;0,000379703489434323
"absolutum";0;0;0;0;0;0;0;0;0;0,000419651271721283;0,000110011077381173;0,000482398024939699;0;0;0;0;0;0;0;0
"absolwentka";0;0;0;0;0;0;0;0,000185655177716837;0;0;0;0;0;0;0;0;0;0,00045456049464797;0;0
"absorbowaæ";0;0;0;0;0;0;0,000138615628977777;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0,000150614439476459
"abstrakcyjny";0;0;0;0;0,000481690530476277;0;0,000415846886933331;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0,000336482967322093;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"abym";4,02826454103451e-05;0,000318684074399544;0,000510074427029024;0;0;0;0,000291720205987604;0,000128765784770027;0,000139172829168837;0,000264950113487822;0,000370433889929676;0,000203043844682166;0;0;0;0;0;0;0;0
"abyœ";0;0,000365691232722394;0,000543504387663611;0,00108532684309307;0;0;0;7,38796230306468e-05;0,000319402741138596;0,00030403130057207;0,000159402881332131;0,000155329075246738;0;0;0;0;0;0;0;0
"abyœcie";0;8,02907463912086e-05;0;0;0;0;0;0;0;0,000178007366980019;0,000186657670717261;0;0;0;0;0;0;0;0;0,000127775043742426
"abyœmy";0;0,000138317369203638;0,000126506214617793;0;0;0;0,000303874398581919;0;0;0;0,000321556332650026;0,000587509547030139;0;0;0;0;0;0;0;0
"ach";0,000231928468686477;0,000942900065152655;0;0;0;0,000895957287337342;0;0,00045306105939911;0,00017806477660313;0,000112996871230636;5,92439884373332e-05;4,32974322405385e-05;0;0;0;0;0,000214234184350641;0,000655483902857189;0,000306303239470576;0,000202775036915641
"achaje";0;0,00333123257207142;0,00073542795990422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajom";0;0,000689220532152708;0,000105061137129174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajów";9,57047903408003e-05;0,0032178439849805;0,000173121578428553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajski";0;0,0025271419512266;0,00115567250842092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achill";0,000116159455027882;0,00057435044346059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
