"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"aberracja";0;0;0;0;0,000814815598144152;0;0,000486355503183688;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0;0
"absolutum";0;0;0;0;0;0;0;0;0;0,000765798991092951;0,000190119866224382;0,000845873780003978;0;0;0;0;0;0;0;0
"absorbowaæ";0;0;0;0;0;0;0,000243177751591844;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0;0,000266968942076298
"abstrakcyjny";0;0;0;0;0,000814815598144152;0;0,000729533254775533;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0;0
"abym";6,88215002954209e-05;0,000599650253598829;0,000927698781031389;0;0;0;0,000511773919789005;0,000246972471528578;0,000229391296982288;0,00048349318415433;0,000640179546232315;0,000356032685725265;0;0;0;0;0;0;0;0
"abyœ";0;0,000688101031888796;0,000988499582026788;0,0018830884542555;0;0;0;0,000141700942747064;0,000526454836673581;0,000554810336410477;0,000275478208159356;0,000272365941050245;0;0;0;0;0;0;0;0
"abyœcie";0;0,000151078671018763;0;0;0;0;0;0;0;0,000324836051327275;0,000322579618628419;0;0;0;0;0;0;0;0;0,000226485377964042
"abyœmy";0;0,000260264168130653;0,000230083405234397;0;0;0;0,000533096401599289;0;0;0;0,000555709919422062;0,00103018440300814;0;0;0;0;0;0;0;0
"achajów";0,000163508309586368;0,00605483962532702;0,000314865181957573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilla";0,00130806647669094;0,0112192616586942;0,00110202813685151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillem";0,000327016619172735;0,000890417591959856;0,000157432590978787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilles";0,000138713668372505;0,0105755069713134;0,000400677842085826;0,00330758987875693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillesa";0,000163508309586368;0,00142466814713577;0,000314865181957573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwi";0,000163508309586368;0,000712334073567885;0,00157432590978787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwów";0,000490524928759103;0,000534250555175914;0,00314865181957573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwy";0,000327016619172735;0,00427400444140731;0,00314865181957573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"acz";0;0;0,00103537532355479;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000975490793805634;0,000233236151603499;0,000118217283366828;0,000780335544284042
"aczkolwiek";0;0;0,000157432590978787;0;0;0;0,000486355503183688;0;0;0;0;0;0;0;0;0;0;0,000319179661127254;0;0
"adamaszek";0;0;0;0;0;0;0;0,000293382526976761;0;0;0;0;0;0;0;0;0,000333735592508987;0;0,000161778318605403;0
"adeptka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000283127435055159;0,00487401815836414;0,00233318226818094;0,000226485377964042
"administracyjny";0;0;0;0;0;0;0,000486355503183688;0,000293382526976761;0,000272497570108145;0;0;0;0;0;0;0;0;0;0;0
"adrenalina";0;0;0;0;0;0,000453944886585995;0;0;0;0;0;0;0;0;0;0;0;0,000270778786575786;0,000274492031550699;0,000679456133892127
"adres";0;0;0;0;0,000595415302173266;0,000391006842619746;0,000533096401599289;0,00128631150176868;0;0;0;0;0;0;0;0;0;0;0;0,000195083886071011
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00226501948044128;0,00135389393287893;0,00260767429973164;0,000452970755928085
